[2025-10-20 22:02:20.167] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:21.169] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:22.159] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:23.168] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:24.158] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:25.161] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:26.158] [ Kotel, State: 194: ActTemp: 50.56 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 C0 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:27.162] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:28.158] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:29.161] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:30.158] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:31.158] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:32.157] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
[2025-10-20 22:02:33.160] [ Kotel, State: 194: ActTemp: 50.5 C, HLimit: 55, Llimit: 50, RunTemp: 43, StopTemp: 41, DaltaT: 5 ] RAW: [C2 13 BA 37 32 2B 29 05] DLC: 8
