[2025-10-20 22:06:05.136] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:09.127] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:13.119] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:17.110] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:21.101] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:25.091] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:29.082] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:33.072] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:37.063] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:41.053] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:45.046] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:49.037] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:53.028] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:06:57.019] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:01.009] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:05.000] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:08.989] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:12.980] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:16.969] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:20.959] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:24.949] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:28.939] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:32.928] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:36.919] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:40.910] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:44.901] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:48.891] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:52.882] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:07:56.872] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:00.863] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:04.854] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:08.843] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:12.833] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:16.823] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:20.813] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:24.803] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:28.794] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:32.787] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:36.779] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:40.772] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:44.765] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:48.758] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:52.750] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:08:56.743] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:00.736] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:04.729] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:08.721] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:12.714] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:16.707] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:20.699] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:24.692] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:28.684] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:32.678] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:36.669] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:40.663] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:44.660] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:48.649] [ UPS, Battery U: 14.4 V; I: 46 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2E 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:52.641] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:09:56.633] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:00.626] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:04.619] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:08.612] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:12.605] [ UPS, Battery U: 14.4 V; I: 51 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 33 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:16.598] [ UPS, Battery U: 14.4 V; I: 50 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 32 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:20.590] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:24.582] [ UPS, Battery U: 14.4 V; I: 47 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 2F 00 01 86 A0 01] DLC: 8
[2025-10-20 22:10:28.572] [ UPS, Battery U: 14.4 V; I: 49 mA; SOC: 100000 mAh; Mode: 1 ] RAW: [90 00 31 00 01 86 A0 01] DLC: 8
