[2025-10-20 22:05:42.188] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:05:46.179] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:05:50.170] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:05:54.162] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:05:58.153] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:02.142] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:06.134] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:10.125] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:14.116] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:18.107] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:22.099] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:26.090] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:30.079] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:34.070] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:38.061] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:42.051] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:46.043] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:50.034] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:54.026] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:06:58.016] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:02.007] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:05.997] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:09.987] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:13.977] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:17.966] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:21.957] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:25.946] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:29.936] [ UPS, Pump State: 124, Mode: 1 ] RAW: [7C 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:33.926] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:37.917] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
[2025-10-20 22:07:41.908] [ UPS, Pump State: 123, Mode: 1 ] RAW: [7B 00 00 00 00 00 00 01] DLC: 8
